Crash ID,State,Date,Day,Month,Year,Dayweek,Time,Hour,Min,Crash Type,Number of Fatalities,"Bus Involvement","Rigid Truck Involvement","Articulated Truck Involvement ",Speed Limit
1200901010001,NSW,01-Jan-2009,1,1,2009,Thursday,01:40,01,40,Single vehicle ,1,No,No,No,50
2200901010001,VIC,01-Jan-2009,1,1,2009,Thursday,06:30,06,30,Single vehicle ,2,No,No,No,100
2200901010002,VIC,01-Jan-2009,1,1,2009,Thursday,09:10,09,10,Multiple vehicle,1,No,No,No,100
3200901010001,QLD,01-Jan-2009,1,1,2009,Thursday,11:00,11,00,Single vehicle ,1,No,No,No,60
5200901010001,WA,01-Jan-2009,1,1,2009,Thursday,01:25,01,25,Pedestrian,1,No,No,No,90
7200901010001,NT,01-Jan-2009,1,1,2009,Thursday,14:00,14,00,Single vehicle ,1,No,No,No,110
3200901020002,QLD,02-Jan-2009,2,1,2009,Friday,13:00,13,00,Multiple vehicle,1,No,No,Yes,100
1200901030002,NSW,03-Jan-2009,3,1,2009,Saturday,08:00,08,00,Multiple vehicle,1,No,No,Yes,110
1200901030003,NSW,03-Jan-2009,3,1,2009,Saturday,19:30,19,30,Single vehicle ,1,No,No,No,70
1200901030004,NSW,03-Jan-2009,3,1,2009,Saturday,22:00,22,00,Single vehicle ,1,No,No,No,80
1200901040005,NSW,04-Jan-2009,4,1,2009,Sunday,20:45,20,45,Single vehicle ,1,No,No,No,100
2200901040003,VIC,04-Jan-2009,4,1,2009,Sunday,07:00,07,00,Single vehicle ,1,No,No,No,100
3200901040003,QLD,04-Jan-2009,4,1,2009,Sunday,09:00,09,00,Multiple vehicle,1,No,No,No,100
3200901040004,QLD,04-Jan-2009,4,1,2009,Sunday,17:00,17,00,Single vehicle ,1,No,No,No,50
1200901050006,NSW,05-Jan-2009,5,1,2009,Monday,11:25,11,25,Multiple vehicle,1,No,No,No,100
2200901050004,VIC,05-Jan-2009,5,1,2009,Monday,23:50,23,50,Single vehicle ,1,No,No,No,100
2200901060005,VIC,06-Jan-2009,6,1,2009,Tuesday,13:10,13,10,Single vehicle ,1,No,No,Yes,100
2200901060006,VIC,06-Jan-2009,6,1,2009,Tuesday,16:20,16,20,Single vehicle ,1,No,No,No,100
1200901070007,NSW,07-Jan-2009,7,1,2009,Wednesday,19:15,19,15,Multiple vehicle,1,No,No,No,80
2200901070007,VIC,07-Jan-2009,7,1,2009,Wednesday,09:45,09,45,Single vehicle ,1,No,Yes,No,100
2200901070008,VIC,07-Jan-2009,7,1,2009,Wednesday,14:00,14,00,Multiple vehicle,2,No,No,No,80
4200901070001,SA,07-Jan-2009,7,1,2009,Wednesday,09:50,09,50,Multiple vehicle,1,Yes,No,No,60
4200901070002,SA,07-Jan-2009,7,1,2009,Wednesday,19:30,19,30,Pedestrian,1,No,No,No,50
1200901090008,NSW,09-Jan-2009,9,1,2009,Friday,09:20,09,20,Multiple vehicle,1,No,No,No,60
2200901090009,VIC,09-Jan-2009,9,1,2009,Friday,11:55,11,55,Multiple vehicle,2,No,No,Yes,100
2200901090010,VIC,09-Jan-2009,9,1,2009,Friday,12:55,12,55,Single vehicle ,1,No,No,No,100
2200901090011,VIC,09-Jan-2009,9,1,2009,Friday,23:05,23,05,Pedestrian,1,No,No,No,60
3200901090005,QLD,09-Jan-2009,9,1,2009,Friday,10:00,10,00,Pedestrian,1,No,No,No,60
5200901090002,WA,09-Jan-2009,9,1,2009,Friday,12:15,12,15,Multiple vehicle,1,No,No,No,110
1200901100009,NSW,10-Jan-2009,10,1,2009,Saturday,22:00,22,00,Single vehicle ,1,No,No,No,60
1200901110010,NSW,11-Jan-2009,11,1,2009,Sunday,12:30,12,30,Multiple vehicle,1,No,No,No,50
1200901110011,NSW,11-Jan-2009,11,1,2009,Sunday,17:34,17,34,Single vehicle ,1,No,No,No,110
2200901110012,VIC,11-Jan-2009,11,1,2009,Sunday,12:00,12,00,Multiple vehicle,1,No,No,No,100
6200901110001,TAS,11-Jan-2009,11,1,2009,Sunday,05:00,05,00,Single vehicle ,1,No,No,Yes,100
6200901110002,TAS,11-Jan-2009,11,1,2009,Sunday,22:55,22,55,Single vehicle ,1,No,No,No,100
2200901130013,VIC,13-Jan-2009,13,1,2009,Tuesday,11:52,11,52,Multiple vehicle,1,No,No,No,100
2200901130014,VIC,13-Jan-2009,13,1,2009,Tuesday,10:15,10,15,Multiple vehicle,1,No,No,Yes,100
3200901130006,QLD,13-Jan-2009,13,1,2009,Tuesday,07:00,07,00,Multiple vehicle,1,No,No,No,60
4200901130003,SA,13-Jan-2009,13,1,2009,Tuesday,08:30,08,30,Pedestrian,1,No,No,No,50
1200901140012,NSW,14-Jan-2009,14,1,2009,Wednesday,15:40,15,40,Multiple vehicle,1,No,No,No,110
